#,OBJECTID,Código de la remoción en masa,Región,Tipo de remoción en masa,Tipo de material,Clasificación de remoción en masa,Detonante,Día del evento,Mes de inicio del evento,Año del evento,Estación de ocurrencia del evento,Método de obtención de la información,Fuente de la información,Autor de la fuente,Nota,Enlace de documento asociado,Latitud,Longitud,Precisión de coordenadas
990,876,RM-2017-04-058,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.87294137,-70.85617174,Coordenadas exactas
989,875,RM-2017-04-057,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.87254609,-70.86117495,Coordenadas exactas
988,874,RM-2017-04-056,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.87471629,-70.86338929,Coordenadas exactas
987,873,RM-2017-04-055,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.8798278,-70.87451036,Coordenadas exactas
986,872,RM-2017-04-054,Coquimbo,3,Suelo/Sedimento,Deslizamiento indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.88232461,-70.88228064,Coordenadas exactas
985,871,RM-2017-04-053,Coquimbo,3,Suelo/Sedimento,Deslizamiento indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.88925778,-70.88641793,Coordenadas exactas
984,870,RM-2017-04-052,Coquimbo,3,Suelo/Sedimento,Deslizamiento indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.88860235,-70.88934609,Coordenadas exactas
983,869,RM-2017-04-051,Coquimbo,3,Suelo/Sedimento,Deslizamiento indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.88932482,-70.89621405,Coordenadas exactas
982,868,RM-2017-04-050,Coquimbo,3,Suelo/Sedimento,Deslizamiento indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.8918446,-70.88974895,Coordenadas exactas
981,867,RM-2017-04-049,Coquimbo,3,Suelo/Sedimento,Deslizamiento indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.891179,-70.89338106,Coordenadas exactas
980,866,RM-2017-04-048,Coquimbo,5,Suelo/Sedimento,Crecida de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.93143665,-70.95209737,Coordenadas exactas
979,865,RM-2017-04-047,Coquimbo,5,Suelo/Sedimento,Crecida de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.96482992,-70.97129718,Coordenadas exactas
978,864,RM-2017-04-046,Coquimbo,3,Suelo/Sedimento,Deslizamiento indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.00179366,-70.84556732,Coordenadas exactas
977,863,RM-2017-04-045,Coquimbo,3,Suelo/Sedimento,Deslizamiento indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.01867437,-70.82681396,Coordenadas exactas
976,862,RM-2017-04-044,Coquimbo,3,Roca,Deslizamiento compuesto de roca,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.01870043,-70.8099152,Coordenadas exactas
975,861,RM-2017-04-043,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.01875768,-70.80968815,Coordenadas exactas
974,860,RM-2017-04-042,Coquimbo,5,Suelo/Sedimento,Crecida de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.02797719,-70.81371277,Coordenadas exactas
973,859,RM-2017-04-041,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.84612277,-70.4033078,Coordenadas exactas
972,858,RM-2017-04-040,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.84242467,-70.44499915,Coordenadas exactas
971,857,RM-2017-04-039,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.95771725,-70.53806855,Coordenadas exactas
970,856,RM-2017-04-038,Coquimbo,5,Suelo/Sedimento,Flujo indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.08578307,-70.49400074,Coordenadas exactas
969,855,RM-2017-04-037,Coquimbo,1,Roca,Caída de roca,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.12397797,-70.43899307,Coordenadas exactas
968,854,RM-2017-04-036,Coquimbo,5,Suelo/Sedimento,Crecida de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.11834471,-70.45155301,Coordenadas exactas
967,853,RM-2017-04-035,Coquimbo,5,Suelo/Sedimento,Crecida de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.11482191,-70.45597467,Coordenadas exactas
966,852,RM-2017-04-034,Coquimbo,3,Suelo/Sedimento,Deslizamiento indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.10467328,-70.48079416,Coordenadas exactas
965,851,RM-2017-04-033,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.03944982,-70.68583166,Coordenadas exactas
964,850,RM-2017-04-032,Coquimbo,5,Suelo/Sedimento,Crecida de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.0167673,-70.6167916,Coordenadas exactas
963,849,RM-2017-04-031,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.20480827,-70.48726705,Coordenadas exactas
962,848,RM-2017-04-030,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.19866984,-70.48433901,Coordenadas exactas
961,847,RM-2017-04-029,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.1912116,-70.48321962,Coordenadas exactas
960,846,RM-2017-04-028,Coquimbo,3,Suelo/Sedimento,Deslizamiento indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.18951921,-70.48367203,Coordenadas exactas
959,845,RM-2017-04-027,Coquimbo,3,Roca,Deslizamiento compuesto de roca,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.04784384,-70.49299529,Coordenadas exactas
958,844,RM-2017-04-026,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.99341224,-70.5311035,Coordenadas exactas
957,843,RM-2017-04-025,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.02715916,-70.65184163,Coordenadas exactas
956,842,RM-2017-04-024,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.03040815,-70.67035285,Coordenadas exactas
955,841,RM-2017-04-023,Coquimbo,5,Suelo/Sedimento,Crecida de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.02995826,-70.69774067,Coordenadas exactas
954,840,RM-2017-04-022,Coquimbo,3,Roca,Deslizamiento compuesto de roca,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.86484466,-71.60070204,Coordenadas exactas
953,839,RM-2017-04-021,Coquimbo,5,Suelo/Sedimento,Flujo indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.2988241,-71.60778818,Coordenadas exactas
952,838,RM-2017-04-020,Coquimbo,5,Suelo/Sedimento,Flujo indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.30044563,-71.60743613,Coordenadas exactas
951,837,RM-2017-04-019,Coquimbo,3,Roca,Deslizamiento compuesto de roca,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-30.66061549,-71.52996482,Coordenadas exactas
950,836,RM-2017-04-018,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.71866714,-71.00991994,Coordenadas exactas
949,835,RM-2017-04-017,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.3034313,-71.03302335,Coordenadas exactas
948,834,RM-2017-04-016,Coquimbo,5,Suelo/Sedimento,Flujo indeterminado,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.35955574,-71.01849258,Coordenadas exactas
947,833,RM-2017-04-015,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.28857481,-71.3159175,Coordenadas exactas
946,832,RM-2017-04-014,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.78910813,-70.74329087,Coordenadas exactas
945,831,RM-2017-04-013,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.79322461,-70.74654834,Coordenadas exactas
944,830,RM-2017-04-012,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.79555488,-70.75114049,Coordenadas exactas
943,829,RM-2017-04-011,Coquimbo,5,Suelo/Sedimento,Flujo de detritos,Lluvias,11 al 13,Mayo,2017,Otoño (del 21-03 al 20-06),,"2017. Efectos geológicos del evento meteorológico del 11 al 13 de mayo de 2017, región de Atacama. Valle del Elqui, comunas de Vicuña Y Paihuano","Alfaro, A. y Garrido, N.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2017-04.pdf,-29.79342035,-70.75493077,Coordenadas exactas
